192;FUNDACION CORAZONISTAS ANDRES COINDRE;50
103;EFA LA NORIA;50
104;CFPE ACADEMIA MARCO;50
108;CPC ESC. PIAS STA. ENGRACIA;50
109;CEFOR IZQUIERDO;50
341;ESCUELAS PÍAS;22
381;IES PIRÁMIDE;22
421;IES LUCAS MALLADA;22
422;CEE ARBOLEDA;44
423;IES FELIX DE AZARA;50
441;IES MIGUEL DE MOLINOS;50
461;AYUNTAMIENTO DE ANDORRA;44
402;IES BAJO ARAGÓN;44
403;IES CORONA DE ARAGÓN;50
521;CPEPA MONEGROS;22
541;IES RAMÓN PIGNATELLÍ;50
501;PRUFCT;44
64;CPIFP CORONA DE ARAGÓN;50
65;CENEIFS ARAGÓN;50
66;CFPE ESCUELA ARAGONESA DE NATURISMO Y TERAPIAS ALTERNATIV;50
193;FUNDACION FEDERICO OZANAM;50
194;FUNDACION REY ARDID;50
201;IES CINCA-ALCANDRE;22
221;COMARCA GUDAR-JAVALAMBRE;44
241;COMARCA DE LA JACETANIA;22
261;CPC SAN VALERO;44
281;SAN JOSE DE CALASANZ;22
301;LA PURISIMA NIÑOS SORDOS;50
67;CPED ESCUELA ARAGONESA ENTRENADORES ATLETÍSMO;50
68;ESC ESCUELA DE ARTE;50
69;CFPE COLUMBUS;50
2;IES HERMANOS ARGENSOLA;22
3;IES MARTÍNEZ VARGAS;22
4;CPED ESCUELA DE MONTAÑA;22
601;ADES CENTRO TECNOLÓGICO;50
183;AYUNTAMIENTO DE JACA;22
184;AYUNTAMIENTO DE ALCAÑIZ;44
185;FUNDACION AMIGO;44
186;ASOCIACION MINUSVALIDOS BILBILIS;50
187;ASOCIACION DESARROLLO INICIATIVAS FORMACION;50
188;FUNDACIÓN APIP-ACAM;50
189;INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DE ZARAGOZA;50
190;FUNDACIÓN DFA;50
191;FUNDACION ADUNARE;50
21;IES MOR DE FUENTES;22
23;IES MONEGROS - GASPAR LAX;22
24;IES LA LLITERA;22
321;FUNDACION LUIS MANUEL GARCIA URREA;50
70;IES ITACA;50
71;IES JOSÉ MANUEL BLECUA;50
72;CFPE LADY CAR;50
73;"CPIFP ""LOS ENLACES""";50
74;IES LUIS BUÑUEL;50
75;IES MARÍA MOLINER;50
76;IES MIGUEL CATALÁN;50
77;IES MIRALBUENO;50
78;CPIFP MOVERA;50
79;CFPE OCÉANO ATLÁNTICO;50
80;IES PABLO SERRANO;50
81;IES PEDRO DE LUNA;50
82;MARCO ALDANY TALLER DE PELUQUEROS;50
83;IES PILAR LORENGAR;50
84;IES RAMÓN Y CAJAL;50
85;IES RÍO GALLEGO;50
86;ACA ROMERO II;50
87;CPA-SALDUIE;50
88;IES SANTIAGO HERNÁNDEZ;50
89;IES TIEMPOS MODERNOS;50
90;CFPE VALLE DE TENA;50
91;IES VIRGEN DEL PILAR;50
92;IES GALLICUM;50
641;IES CONDE DE ARANDA;50
661;IES ÁNGEL SANZ BRIZ;50
