17758;117
17759;22
17763;77
17767;64
17773;35
17776;88
17777;68
17782;68
17791;32
17794;12
17805;88
17806;88
17821;76
17831;88
17832;83
17840;88
17841;88
17842;83
17842;83
17847;73
17851;14
17856;104
17858;78
17862;90
17862;90
17862;90
17865;19
17866;85
17866;85
17869;77
17872;77
17872;77
17883;89
17889;77
17897;80
17901;85
17902;74
17908;91
17909;22
17912;118
17918;68
17919;54
17919;54
17929;117
17937;109
17948;113
17948;113
17951;77
17953;88
17956;64
17957;114
17958;58
17958;58
17959;77
17960;73
17961;78
17962;97
17962;97
17968;49
17969;104
17970;80
17997;77
18000;117
18011;56
18014;76
18015;116
18018;114
18020;64
18026;88
18027;73
18029;111
18029;111
18029;111
18046;80
18047;73
18060;105
18063;115
18068;42
18079;76
18082;85
18083;99
18084;89
18086;64
18089;117
18090;117
18098;104
18099;77
18100;77
18101;91
18103;117
18104;44
18107;73
18115;58
18119;109
18120;51
18130;25
18133;80
18138;114
18140;91
18142;105
18146;74
18151;77
18157;73
18158;92
18163;104
18164;104
18169;115
18187;117
18190;70
18190;70
18190;70
18195;80
18200;110
18208;59
18210;115
18216;78
18221;52
18223;41
18226;76
18227;115
18242;89
18246;104
18253;77
18255;85
18256;117
18261;76
18262;33
18263;47
18267;77
18269;85
18269;85
18271;64
18275;80
18277;64
18281;76
18307;96
18312;25
18313;17
18315;17
18321;85
18322;15
18324;19
18325;3
18326;14
18327;56
18329;13
18332;64
18337;64
18337;64
18338;89
18339;96
18343;85
18346;46
18347;2
18354;13
18355;13
18356;3
18362;89
18364;88
18367;3
18376;23
18383;74
18389;16
18391;96
18393;17
18409;78
18412;73
18413;16
18424;1
18425;16
18429;14
18443;18
18443;18
18443;18
18444;9
18444;9
18444;9
18444;9
18444;9
18444;9
18447;9
18447;9
18447;9
18447;9
18457;13
18464;91
18464;91
18477;3
18489;17
18498;46
18505;13
18513;341
18513;341
18514;22
18516;106
18518;18
18518;18
18518;18
18518;18
18534;85
18549;33
18551;85
18555;54
18557;33
18558;422
18558;422
18559;37
18562;58
18565;37
18567;71
18568;106
18569;32
18571;75
18573;36
18575;35
18577;49
18577;49
18585;85
18592;105
18598;32
18598;32
18601;108
18609;37
18611;75
18615;37
18618;37
18620;105
18621;36
18624;38
18635;29
18642;37
18644;28
18654;32
18661;43
18663;104
18669;105
18670;87
18670;87
18670;87
18670;87
18670;87
18677;98
18677;98
18678;50
18681;14
18701;14
18703;68
18708;64
18709;92
18711;17
18713;114
18714;91
18715;13
18721;70
18729;114
18734;54
18741;103
18745;321
18750;48
18751;70
18759;73
18761;581
18762;114
18763;109
18768;91
18769;91
18770;114
18772;87
18772;87
18772;87
18772;87
18773;117
18773;117
18777;46
18780;91
18781;45
18782;14
18794;15
18800;115
18801;191
18805;73
18813;73
18814;81
18821;14
18826;91
18832;73
18835;73
18836;38
18841;75
18841;75
18843;73
18850;37
18858;64
18862;321
18864;78
18873;110
18875;114
18877;99
18881;43
18885;661
18888;403
18891;89
18900;115
18901;91
18902;75
18902;75
18905;114
18909;56
18910;104
18911;101
18912;115
18913;92
18920;91
18925;91
18927;74
18928;110
18930;91
18937;105
18947;42
18951;109
18955;105
18957;110
18958;581
18960;73
18965;114
18968;73
18974;104
18979;114
18980;581
18981;68
18987;113
18988;113
18989;64
18995;14
18998;73
19002;101
19006;52
19020;87
19028;189
19032;77
19035;61
19037;25
19038;61
19044;109
19047;70
19054;189
19056;73
19058;114
19059;48
19061;91
19064;110
19068;64
19069;91
19070;58
19071;77
19073;108
19073;108
19074;52
19079;115
19088;91
19091;403
19094;83
19095;73
19100;64
19105;92
19109;107
19109;107
19109;107
19110;104
19114;17
19116;117
19120;5
19120;5
19122;68
19123;106
19124;64
19128;861
19129;60
19129;841
19129;841
19129;11
19129;60
19129;841
19129;60
19129;60
19139;117
19143;88
19150;78
19151;88
19156;105
19156;105
19165;73
19168;107
19168;107
19168;107
19172;36
19175;28
19181;91
19197;104
19224;7
19225;7
19239;80
19248;77
19255;45
19256;33
19258;43
19264;76
19274;40
19275;73
19279;28
19280;68
19288;32
19299;73
19304;89
19309;90
19314;73
19328;75
19345;68
19346;73
19349;101
19352;73
19353;101
19357;14
19360;102
19363;59
19364;56
19366;105
19368;24
19372;88
19380;85
19394;883
19396;75
19405;104
19408;47
