1705147	18046
1705148	18046
1705157	17953
1705199	22038
1705216	22038
1705217	22038
1705218	21938
1705219	25958
1705220	25958
1705221	25958
1705222	25958
1705223	25958
1705224	25560
1705225	25560
1705226	25560
1705227	25560
1705228	25560
1705229	25560
1705230	25560
1705231	25560
1705232	25560
1705233	25560
1705234	25560
1705235	25560
1705237	18565
1705238	18565
1705239	18565
1705240	18565
1705241	18565
1705242	18565
1705243	18565
1705244	18565
1705246	18115
1705247	18115
1705250	19124
1705251	19124
1705252	18011
1705253	18011
1705254	19450
1705255	19450
