trabdes,%trabajo relacionado
IES SALVADOR VICTORIA,100.0000
CPC PADRE ENRIQUE DE OSSÓ,100.0000
IES CABAÑAS,100.0000
IES BENJAMIN JARNES,100.0000
IES BIELLO ARAGON,100.0000
IES JOSÉ MANUEL BLECUA,100.0000
IES LEONARDO DE CHABACIER,100.0000
IES EMILIO JIMENO,100.0000
IES MATARRAÑA,100.0000
CES SALESIANO NTRA. SRA. DEL PILAR,98.4375
IES PILAR LORENGAR,94.4444
IES VIRGEN DEL PILAR,94.1176
CPIFP PIRÁMIDE,92.3077
CPIFP BAJO ARAGÓN,87.5000
IES TIEMPOS MODERNOS,86.9565
IES MAR DE ARAGÓN,85.7143
IES PIRINEOS,85.7143
CPIFP SAN LORENZO,85.7143
IES CINCO VILLAS,85.1852
CPIFP CORONA DE ARAGÓN,85.1064
CPIFP MOVERA,84.6154
IES PABLO SERRANO,83.3333
IES LA LLITERA,83.3333
IES SIERRA DE GUARA,82.5000
IES PEDRO CERRADA,80.9524
CPIFP MONTEARAGÓN,80.9524
IES SIGLO XXI,80.0000
IES DAMIÁN FORMENT,80.0000
IES SIERRA SAN QUÍLEZ,80.0000
IES HERMANOS ARGENSOLA,80.0000
IES RAMÓN Y CAJAL,80.0000
CPIFP LOS ENLACES,78.0488
IES MOR DE FUENTES,75.0000
IES MARTÍNEZ VARGAS,69.6970
IES MIRALBUENO,66.6667
IES REYES CATOLICOS,66.6667
IES BAJO ARAGÓN,66.6667
IES LUIS BUÑUEL,64.5161
IES SANTA EMERENCIANA,62.5000
IES SANTIAGO HERNÁNDEZ,61.7021
IES JOAQUIN COSTA,60.0000
IES GALLICUM,55.5556
IES RÍO GALLEGO,52.3810
O. D. SANTO DOMINGO DE SILOS,50.8772
IES RÍO ARBA,50.0000
IES PABLO SERRANO,50.0000
IES ANDALAN,50.0000
IES AVEMPACE,40.3846
IES BAJO CINCA,40.0000
IES ITACA,37.5000
IES VEGA DEL TURIA,36.3636
IES MARÍA MOLINER,33.3333
CPC ALAUN,20.0000
IES MIGUEL CATALÁN,19.4444
IES SAN ALBERTO MAGNO,
IES ÁNGEL SANZ BRIZ,
IES PABLO GARGALLO,
