trabdes,%trabajo relacionado
Instalación y Mantenimiento ,100.0000
Servicios Socioculturales y a la Comunidad ,100.0000
Química,100.0000
Textil Confección y Piel,100.0000
Industrias Alimentarias ,100.0000
Hostelería y Turismo ,91.6667
Seguridad y Medio Ambiente,83.3333
Transporte y Mantenimiento de Vehículos ,75.0000
Electricidad y Electrónica ,67.5676
Imagen Personal,66.6667
Sanidad,63.5036
Comercio y Marketing,58.3333
Fabricación Mecánica ,57.1429
Informática y Comunicaciones,57.1429
Administración y Gestión ,41.7910
