trabdes,%desempleo,%trabaja
IES TIEMPOS MODERNOS,6.6667,93.3333
IES MIGUEL CATALÁN,13.6364,86.3636
IES RÍO GALLEGO,14.2857,85.7143
CPC ESC. PIAS STA. ENGRACIA,14.2857,85.7143
CPIFP CORONA DE ARAGÓN,14.2857,85.7143
IES MIRALBUENO,16.6667,83.3333
CES SANTO DOMINGO SAVIO,20.0000,80.0000
CES SALESIANO NTRA. SRA. DEL PILAR,20.0000,80.0000
CPIFP BAJO ARAGÓN,20.0000,80.0000
IES ANDALAN,20.0000,80.0000
O. D. SANTO DOMINGO DE SILOS,21.7391,78.2609
CPC COLEGIO MONTESSORI,25.0000,75.0000
IES FERNANDO LÁZARO CARRETER,25.0000,75.0000
IES JOSÉ MANUEL BLECUA,25.0000,75.0000
CPC EL BUEN PASTOR,28.5714,71.4286
CES SAN VALERO,30.0000,70.0000
IES PABLO SERRANO,30.7692,69.2308
CFPE ACADEMIA MARCO,33.3333,66.6667
IES EMILIO JIMENO,33.3333,66.6667
IES CABAÑAS,33.3333,66.6667
IES MARÍA MOLINER,33.3333,66.6667
CPA-SALDUIE,40.0000,60.0000
IES LUIS BUÑUEL,40.0000,60.0000
CPIFP MONTEARAGÓN,50.0000,50.0000
IES BAJO ARAGÓN,50.0000,50.0000
IES BENJAMIN JARNES,50.0000,50.0000
IES ITACA,50.0000,50.0000
IES PILAR LORENGAR,50.0000,50.0000
CEFOR IZQUIERDO,75.0000,25.0000
IES PABLO SERRANO,80.0000,20.0000
CPC SALES. LAVIAGA CASTILLO,,
CEFP CONDES DE ARAGÓN,,
CPIFP PIRÁMIDE,,
CPIFP SAN LORENZO,,
IES SIERRA DE GUARA,,
IES PIRINEOS,,
IES HERMANOS ARGENSOLA,,
IES MARTÍNEZ VARGAS,,
IES VEGA DEL TURIA,,
IES LEONARDO DE CHABACIER,,
IES CINCO VILLAS,,
IES SIERRA SAN QUÍLEZ,,
IES SIGLO XXI,,
IES PEDRO CERRADA,,
IES AVEMPACE,,
IES BAJO CINCA,,
CPIFP LOS ENLACES,,
IES SANTIAGO HERNÁNDEZ,,
IES VIRGEN DEL PILAR,,
IES GALLICUM,,
CPC ALAUN,,
