trabdes,%desempleo,%trabaja
Administración y Gestión ,19.2771,80.7229
Agraria,50.0000,50.0000
Artes Gráficas ,50.0000,50.0000
Comercio y Marketing,7.6923,92.3077
Electricidad y Electrónica ,15.9091,84.0909
Fabricación Mecánica ,30.0000,70.0000
Hostelería y Turismo ,7.6923,92.3077
Imagen Personal,0.0000,100.0000
Imagen y Sonido ,40.0000,60.0000
Industrias Alimentarias ,0.0000,100.0000
Informática y Comunicaciones,30.0000,70.0000
Instalación y Mantenimiento ,0.0000,100.0000
Química,20.0000,80.0000
Sanidad,17.4699,82.5301
Seguridad y Medio Ambiente,25.0000,75.0000
Servicios Socioculturales y a la Comunidad ,0.0000,100.0000
Textil Confección y Piel,50.0000,50.0000
Transporte y Mantenimiento de Vehículos ,14.2857,85.7143
,100.0000,0.0000
