trabdes,%trabajo relacionado
Instalación y Mantenimiento ,100.0000
Artes Gráficas ,100.0000
Química,100.0000
Textil Confección y Piel,100.0000
Seguridad y Medio Ambiente,88.8889
Transporte y Mantenimiento de Vehículos ,83.3333
Hostelería y Turismo ,75.0000
Electricidad y Electrónica ,73.6842
Administración y Gestión ,69.7674
Imagen y Sonido ,50.0000
Industrias Alimentarias ,50.0000
Sanidad,43.0380
Informática y Comunicaciones,41.6667
Comercio y Marketing,40.0000
Agraria,33.3333
Servicios Socioculturales y a la Comunidad ,30.0000
