trabdes,%desempleo,%trabaja
IES VEGA DEL TURIA,8.3333,91.6667
IES SANTA EMERENCIANA,11.1111,88.8889
IES MIGUEL CATALÁN,11.1111,88.8889
O. D. SANTO DOMINGO DE SILOS,16.6667,83.3333
CPIFP CORONA DE ARAGÓN,18.1818,81.8182
IES RÍO GALLEGO,18.1818,81.8182
IES LEONARDO DE CHABACIER,20.0000,80.0000
IES PABLO SERRANO,20.0000,80.0000
CPIFP SAN LORENZO,22.2222,77.7778
CPIFP MOVERA,25.0000,75.0000
IES GALLICUM,25.0000,75.0000
IES SIERRA DE GUARA,28.5714,71.4286
IES LUIS BUÑUEL,28.5714,71.4286
IES TIEMPOS MODERNOS,28.5714,71.4286
IES FERNANDO LÁZARO CARRETER,33.3333,66.6667
IES CINCO VILLAS,33.3333,66.6667
IES MIRALBUENO,33.3333,66.6667
IES ANDALAN,40.0000,60.0000
IES MIGUEL DE MOLINOS,50.0000,50.0000
IES SIERRA SAN QUÍLEZ,50.0000,50.0000
IES PEDRO CERRADA,57.1429,42.8571
IES PABLO SERRANO,75.0000,25.0000
IES MARÍA MOLINER,80.0000,20.0000
IES PILAR LORENGAR,80.0000,20.0000
IES SIGLO XXI,,
IES RÍO ARBA,,
IES AVEMPACE,,
IES BAJO CINCA,,
IES ITACA,,
IES JOSÉ MANUEL BLECUA,,
CPIFP LOS ENLACES,,
IES PEDRO DE LUNA,,
IES SANTIAGO HERNÁNDEZ,,
IES VIRGEN DEL PILAR,,
CPIFP MONTEARAGÓN,,
IES RAMÓN Y CAJAL,,
IES HERMANOS ARGENSOLA,,
IES BIELLO ARAGON,,
CPIFP BAJO ARAGÓN,,
IES DAMIÁN FORMENT,,
IES MARTÍNEZ VARGAS,,
IES EMILIO JIMENO,,
IES JOAQUIN COSTA,,
IES SIERRA DE LA VIRGEN,,
IES CABAÑAS,,
