trabdes,%desempleo,%trabaja
Administración y Gestión ,24.5614,75.4386
Agraria,0.0000,100.0000
Artes Gráficas ,80.0000,20.0000
Comercio y Marketing,0.0000,100.0000
Electricidad y Electrónica ,20.8333,79.1667
Hostelería y Turismo ,20.0000,80.0000
Imagen Personal,33.3333,66.6667
Imagen y Sonido ,0.0000,100.0000
Industrias Alimentarias ,20.0000,80.0000
Informática y Comunicaciones,14.2857,85.7143
Instalación y Mantenimiento ,0.0000,100.0000
Química,0.0000,100.0000
Sanidad,11.2360,88.7640
Seguridad y Medio Ambiente,25.0000,75.0000
Servicios Socioculturales y a la Comunidad ,9.0909,90.9091
Textil Confección y Piel,66.6667,33.3333
Transporte y Mantenimiento de Vehículos ,40.0000,60.0000
,100.0000,0.0000
