"649820","ZARAGOZA","SUPERIOR","ADG301","ADG","SI","ESTUDIA","NSNC","NSNC","NSNC","32","07/22/1987 00:00:00"
"652295","ZARAGOZA","SUPERIOR","IMA302","IMA","SI","TRABAJA","SI","OTRO","NO","27","04/09/1992 00:00:00"
"652467","ZARAGOZA","MEDIO","AGA205","AGA","SI","TRABAJA","SI","OTRO","NO","20","03/27/1999 00:00:00"
"652557","ZARAGOZA","SUPERIOR","IMA302","IMA","SI","TRABAJA","SI","OTRO","NO","26","07/09/1993 00:00:00"
"652792","ZARAGOZA","SUPERIOR","SSC302","SSC","SI","EN DESEMPLEO","NSNC","NSNC","NSNC","23","12/30/1996 00:00:00"
"652792","ZARAGOZA","SUPERIOR","SSC302","SSC","SI","EN DESEMPLEO","NSNC","NSNC","NSNC","23","12/30/1996 00:00:00"
"652797","ZARAGOZA","MEDIO","TMV202","TMV","SI","TRABAJA","SI","OTRO","NSNC","22","05/16/1997 00:00:00"
"653020","ZARAGOZA","MEDIO","TMV202","TMV","SI","TRABAJA","SI","OTRO","NO","21","07/06/1998 00:00:00"
"653120","ZARAGOZA","SUPERIOR","COM304","COM","SI","ESTUDIA","NSNC","NSNC","NSNC","23","04/23/1996 00:00:00"
"653144","ZARAGOZA","MEDIO","IFC201","IFC","SI","ESTUDIA","NSNC","NSNC","NSNC","25","04/20/1994 00:00:00"
"653172","ZARAGOZA","SUPERIOR","TMV301","TMV","SI","TRABAJA","SI","OTRO","NO","25","09/01/1994 00:00:00"
"653245","ZARAGOZA","MEDIO","ELE202","ELE","SI","ESTUDIA","NSNC","NSNC","NSNC","20","01/28/1999 00:00:00"
"653248","ZARAGOZA","SUPERIOR","ELE303","ELE","SI","ESTUDIA","NSNC","NSNC","NSNC","22","11/25/1997 00:00:00"
"653261","ZARAGOZA","MEDIO","AGA205","AGA","SI","TRABAJA","SI","OTRO","NO","24","07/15/1995 00:00:00"
"653273","ZARAGOZA","SUPERIOR","ELE303","ELE","SI","TRABAJA","SI","OTRO","NO","22","03/31/1997 00:00:00"
"653276","ZARAGOZA","SUPERIOR","IMA302","IMA","SI","TRABAJA","NO","FIJO","NSNC","23","02/10/1996 00:00:00"
"653352","ZARAGOZA","MEDIO","AGA205","AGA","SI","TRABAJA","SI","OTRO","SI","20","04/06/1999 00:00:00"
"654356","ZARAGOZA","SUPERIOR","ELE303","ELE","SI","TRABAJA","SI","OTRO","SI","29","11/13/1990 00:00:00"
"654764","ZARAGOZA","SUPERIOR","ELE302","ELE","SI","TRABAJA","SI","OTRO","NO","31","07/05/1988 00:00:00"
"654808","ZARAGOZA","MEDIO","AGA205","AGA","SI","TRABAJA","SI","OTRO","SI","23","03/19/1996 00:00:00"
"655271","ZARAGOZA","SUPERIOR","IFC303","IFC","SI","TRABAJA","SI","NSNC","NO","32","09/14/1987 00:00:00"
"655415","HUESCA","MEDIO","IMS202","IMS","SI","ESTUDIA","NSNC","NSNC","NSNC","21","11/19/1998 00:00:00"
