ID_ALUMNO;ID_CENTROEDUCATIVO
649679;18
649679;18
649745;75
649745;75
649745;64
649820;64
649820;64
649820;64
649820;105
650097;64
650105;76
650105;76
650159;25
650159;25
650357;13
650357;13
650459;18
650459;18
650467;13
650683;68
650683;68
650762;105
650762;105
650787;73
650787;73
650858;76
650858;90
650956;68
650956;68
651017;104
651182;80
651182;80
651257;43
651290;43
651291;43
651291;43
651296;43
651296;43
651333;43
651333;43
651539;80
651539;80
651662;43
651708;73
651708;73
651878;60
651878;44
651878;44
651911;51
651911;51
651911;64
651990;42
651990;42
651990;101
651997;105
651997;105
651997;105
652062;43
652062;40
652079;43
652079;43
652079;43
652080;68
652080;68
652293;42
652293;42
652293;42
652295;15
652295;101
652390;43
652390;78
652390;78
652399;64
652399;64
652448;43
652467;50
652467;50
652480;40
652480;40
652557;114
652557;114
652557;101
652557;114
652631;35
652631;35
652632;43
652632;90
652671;88
652671;88
652674;321
652674;43
652694;43
652720;43
652720;43
652750;70
652750;70
652750;48
652750;64
652792;74
652792;74
652797;42
652797;42
652797;85
652806;42
652806;42
652828;87
652828;87
652887;37
652887;37
652920;85
652920;85
652961;105
652961;88
652961;88
652965;42
652965;42
652965;75
652965;75
652969;42
652969;42
652980;36
652980;43
652996;105
652996;105
652996;105
653020;114
653020;42
653037;43
653037;43
653058;73
653074;43
653074;43
653100;43
653100;42
653103;42
653103;42
653103;42
653116;43
653118;115
653118;115
653120;42
653120;42
653120;105
653144;40
653144;114
653154;45
653154;45
653163;101
653163;101
653164;76
653164;90
653172;114
653172;114
653176;110
653176;110
653182;74
653199;12
653199;68
653214;60
653214;29
653214;60
653245;114
653245;50
653248;42
653248;114
653254;50
653254;50
653259;70
653259;70
653259;70
653259;70
653261;78
653261;50
653265;117
653273;42
653273;114
653276;101
653276;101
653289;43
653289;43
653292;42
653292;42
653295;76
653295;105
653331;118
653331;118
653338;42
653338;42
653348;43
653348;43
653352;50
653352;50
653355;51
653355;51
653359;42
653359;42
653360;103
653362;51
653362;51
653366;51
653366;51
653375;110
653375;110
653390;48
653390;48
653396;43
653396;43
653406;43
653411;73
653411;73
653509;90
653509;108
653598;104
653607;9
653607;70
653607;70
653607;70
653607;70
653609;64
653609;64
653609;64
653609;64
653614;89
653614;89
653676;76
653687;109
653687;76
653687;76
653712;74
653712;75
653729;104
653779;88
653779;88
653779;88
653813;76
653813;76
653838;104
653848;104
653848;104
654181;76
654198;68
654198;68
654211;115
654211;115
654233;117
654233;75
654244;109
654244;88
654244;60
654356;114
654356;114
654443;25
654443;25
654456;68
654572;105
654572;105
654572;105
654572;105
654585;25
654585;25
654585;25
654764;117
654764;114
654808;78
654808;78
654840;117
654857;104
654902;104
654930;70
654930;70
655271;105
655271;105
655363;88
655363;88
655415;15
655415;15
655548;70
655548;70
655567;89
655567;75
655679;90
655679;90
656005;115
656005;115
656005;115
656128;104
656167;76
656167;116
656254;70
656254;70
656254;70
656254;56
656296;89
656306;104
656307;115
656307;89
656399;89
656399;105
656525;104
656563;88
656563;88
656563;105
656563;88
656563;88
656650;88
656650;88
656650;115
656682;90
656682;88
656682;88
656925;88
656925;88
656925;80
656925;74
656925;74
656954;92
656954;92
656954;61
657169;115
657169;115
657173;89
657173;105
657173;105
657234;9
657234;9
657234;70
657234;70
657234;70
657288;117
657288;114
657288;114
657290;114
657290;114
657292;70
657292;70
657365;117
657365;60
657366;91
657366;91
657366;87
657407;76
657410;58
657410;75
657410;75
657410;75
657423;115
657423;115
657453;90
657453;90
657459;75
657459;75
657459;75
657499;115
657499;115
657499;77
657506;74
657524;115
657524;115
657627;105
657627;64
657627;64
657654;70
657654;70
657654;70
657667;83
657667;105
657733;76
657733;104
657733;104
657755;74
657755;74
657784;68
657784;68
657802;70
657802;70
657870;191
657870;104
657870;115
657870;105
657882;114
657882;114
657883;91
657883;87
657895;59
657895;105
657941;74
657975;115
657975;115
657975;115
658020;105
658020;105
658051;68
658051;68
658090;68
658090;68
658090;68
658090;68
658210;17
658218;14
658238;14
658238;14
658238;14
658351;17
658351;13
658401;17
658415;17
658446;86
658446;60
658446;60
658677;18
658677;18
658677;18
658826;17
658878;18
658878;14
658879;18
658879;18
658886;73
659004;68
659004;68
659039;3
659039;13
659039;13
659127;3
659127;3
659127;1
659127;33
659336;17
659336;17
659336;17
659348;13
659348;73
659349;15
659349;15
659356;88
659399;14
659400;14
659412;14
659412;14
659419;17
659419;68
659419;12
659419;12
659475;37
659475;17
659478;5
659478;5
659478;3
659495;88
659495;13
659511;17
659516;3
659516;13
659516;13
659519;17
659577;13
659629;105
659629;105
659641;68
659641;14
659641;14
659641;14
659641;14
659657;13
659728;14
659771;14
659811;17
659811;17
659934;13
659934;13
659934;13
659969;13
659996;13
659996;13
659996;13
660052;14
660052;14
660104;17
660104;85
660104;85
660104;85
660167;17
660167;17
660291;15
660291;15
660316;17
660316;17
660316;105
660337;68
660337;68
660337;15
660337;15
660349;13
660349;17
660349;64
660355;17
660366;14
660399;73
660399;23
660399;87
660452;114
660452;114
660473;17
660473;17
660489;17
660490;17
660490;17
660497;17
660497;17
660517;91
660517;91
660517;14
660517;14
660529;14
660529;3
660529;3
660529;3
660539;23
660539;23
660656;17
660656;14
660754;2
660799;13
660818;105
660818;105
660818;105
660858;5
660858;3
660897;70
660897;70
660952;21
660952;21
660959;14
660959;14
660996;68
660996;68
661044;14
661044;14
661044;14
661052;13
661052;13
661094;17
661188;13
661188;13
661188;13
661232;18
661232;18
661308;13
661308;13
661320;14
661320;13
661355;13
661355;13
661355;13
661436;88
661436;88
661438;7
661438;7
661486;117
661486;105
661486;105
661498;13
661498;13
661498;13
661504;13
661520;14
661520;14
661522;60
661522;60
661594;13
661594;13
661594;17
661601;14
661605;13
661605;13
661608;14
661622;14
661622;18
661682;14
661682;14
661711;13
661712;13
661712;13
661722;91
661722;91
661723;70
661723;70
661736;21
